id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
c6cadd86-975b-44cb-b776-37fadcdce773,83482bfe-f97c-4f50-8595-21c296b51f26,Entire home/apt,Recreio dos Bandeirantes,0.0,0.0,4.0,4,,0.0
617ae029-6a46-4137-92dd-66e8d567e55f,12e7e554-bad1-44e1-8a13-135cdb8d03f6,Entire home/apt,Leblon,5.0,72.0,32.0,64,0.04792361111111111,0.625
a68bf906-614c-4837-8844-7b79c067ab85,178c9455-7f10-4c55-8308-1f9f1cdb60b9,Entire home/apt,-unknown-,6.0,81.0,14.0,134,0.00525462962962963,0.6666666666666666
7143705b-b898-4d8f-8f30-d2935a40e67e,c77a00ef-b950-47e5-a20c-5ff4b4901946,Entire home/apt,Flamengo,2.0,15.0,10.0,105,0.02928240740740741,0.6666666666666666
0263f245-c523-4a57-889c-42d98dc6c1bf,a7840cfd-03bc-486f-91ec-944f5c0e980d,Entire home/apt,Ipanema,4.0,235.0,8.0,47,5.787037037037037e-06,0.8
38d1925c-c3d5-4d9e-a0cc-b2327ca39544,bbcfdb31-99bf-4a0b-8795-e869b8a7d6b4,Entire home/apt,Leblon,0.0,50.0,6.0,28,,0.0
f8b2c688-a000-4a4d-93d1-2e2197c06d14,39b91cf9-8d8a-406e-8826-df1456143b8e,Entire home/apt,-unknown-,3.0,120.0,32.0,33,3.411689814814815,0.5
995ce116-dc3a-4061-b00f-06857adc02c8,a5d89651-ac36-497c-b6d4-2c768d5cdd37,Entire home/apt,-unknown-,1.0,76.0,4.0,11,0.08171296296296296,0.5
915b7769-8d57-474b-8122-ede3d2a25909,905125e4-4ef2-4e20-92a0-13bc01393f8e,Entire home/apt,Copacabana,4.0,287.0,11.0,58,1.3933275462962964,0.5714285714285714
1829cc47-a343-44a1-bfe1-22571d37f372,b46d591c-9cde-4218-be20-1c4c57fb0064,Entire home/apt,-unknown-,0.0,3.0,8.0,16,,0.0
be251aff-6da6-428e-a737-33d2ce7cd987,78f65154-4217-4985-ab65-a5935a8c195f,Entire home/apt,Copacabana,1.0,0.0,8.0,24,1.1574074074074073e-05,1.0
45f6c9de-675f-4549-b163-5d27e362b905,aa542203-87fe-4375-a76f-b8c54cd4f773,Entire home/apt,-unknown-,0.0,4.0,2.0,6,,0.0
6e838620-318d-47bd-926b-99905f2134f5,6d9c5d3d-9f8c-4220-bca5-9b592fa4174c,Entire home/apt,Barra da Tijuca,0.0,0.0,1.0,7,,0.0
